epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,8343.56,1.67824,0.65683,0.88712,0.92966,0.91172,0.94836,0.45499,1.72764,0.6615,0.88517,0.000239766,0.000239766,0.000239766
70,8471.33,1.67412,0.65496,0.87922,0.92984,0.90732,0.94547,0.45402,1.73505,0.66182,0.88661,0.000226769,0.000226769,0.000226769
71,8593.1,1.66683,0.65175,0.88028,0.92946,0.90753,0.94697,0.45315,1.72651,0.65916,0.8853,0.000214046,0.000214046,0.000214046
72,8710.6,1.66443,0.64764,0.87804,0.92844,0.91072,0.94823,0.45163,1.73017,0.6594,0.88609,0.000201611,0.000201611,0.000201611
73,8826.52,1.65284,0.64971,0.88186,0.9277,0.90777,0.94361,0.45026,1.73672,0.66362,0.88758,0.000189475,0.000189475,0.000189475
74,8943.72,1.6672,0.65137,0.87892,0.92652,0.91144,0.94675,0.45472,1.72545,0.65859,0.88577,0.000177651,0.000177651,0.000177651
75,9063.04,1.63028,0.6414,0.87883,0.9317,0.90929,0.94578,0.45245,1.73136,0.66047,0.88632,0.000166149,0.000166149,0.000166149
76,9181.94,1.66336,0.64998,0.88192,0.93111,0.90658,0.94404,0.4522,1.73297,0.65852,0.88669,0.000154982,0.000154982,0.000154982
77,9298.3,1.64583,0.64283,0.87708,0.93111,0.91037,0.9467,0.45517,1.72717,0.65355,0.8859,0.000144161,0.000144161,0.000144161
78,9416.63,1.63916,0.64062,0.87461,0.9317,0.91029,0.94858,0.45285,1.73409,0.65633,0.88624,0.000133695,0.000133695,0.000133695
79,9533.98,1.65176,0.6442,0.88045,0.92691,0.91303,0.94693,0.45411,1.72339,0.65843,0.88485,0.000123596,0.000123596,0.000123596
80,9652.46,1.64144,0.63811,0.87649,0.92939,0.9131,0.94839,0.45685,1.72255,0.65319,0.8852,0.000113873,0.000113873,0.000113873
81,9772.34,1.6336,0.63259,0.87754,0.93083,0.90929,0.94798,0.45395,1.72915,0.65236,0.88616,0.000104537,0.000104537,0.000104537
82,9891.9,1.63675,0.63569,0.8794,0.93158,0.90948,0.94801,0.45482,1.72272,0.65256,0.88513,9.55951e-05,9.55951e-05,9.55951e-05
83,10009.8,1.65595,0.64061,0.87523,0.92992,0.91082,0.94912,0.45348,1.7308,0.65198,0.88591,8.70577e-05,8.70577e-05,8.70577e-05
84,10127.5,1.62931,0.632,0.87894,0.93076,0.91075,0.94871,0.45633,1.72353,0.65017,0.8855,7.89327e-05,7.89327e-05,7.89327e-05
85,10245.7,1.61957,0.62981,0.87666,0.93073,0.91123,0.94879,0.45604,1.72255,0.65216,0.88513,7.12282e-05,7.12282e-05,7.12282e-05
86,10364.3,1.6276,0.62895,0.87118,0.93272,0.91102,0.94928,0.45764,1.72394,0.6495,0.88519,6.39518e-05,6.39518e-05,6.39518e-05
87,10484.9,1.63902,0.63223,0.87621,0.92957,0.91186,0.94911,0.45485,1.72571,0.64979,0.88567,5.71106e-05,5.71106e-05,5.71106e-05
88,10605.7,1.62212,0.62705,0.87413,0.93213,0.9104,0.94911,0.45589,1.72422,0.64905,0.88531,5.07115e-05,5.07115e-05,5.07115e-05
89,10727.6,1.62188,0.62535,0.87491,0.93087,0.91213,0.94886,0.45709,1.72082,0.64784,0.88467,4.47606e-05,4.47606e-05,4.47606e-05
90,10846.2,1.62178,0.62584,0.87557,0.932,0.91182,0.94844,0.45726,1.72401,0.64876,0.8852,3.9264e-05,3.9264e-05,3.9264e-05
91,10964.7,1.60778,0.62016,0.88041,0.93068,0.90888,0.94691,0.45409,1.73075,0.65131,0.88644,3.4227e-05,3.4227e-05,3.4227e-05
92,11085.9,1.61329,0.62217,0.87851,0.93045,0.9104,0.94768,0.45347,1.73101,0.65187,0.88583,2.96546e-05,2.96546e-05,2.96546e-05
93,11209.2,1.60079,0.61873,0.87706,0.93138,0.9086,0.9462,0.45396,1.72935,0.65257,0.88593,2.55513e-05,2.55513e-05,2.55513e-05
94,11326,1.60026,0.61654,0.88089,0.93306,0.90922,0.94751,0.45436,1.72881,0.65073,0.8856,2.19212e-05,2.19212e-05,2.19212e-05
95,11441.4,1.60525,0.61535,0.8803,0.93274,0.90874,0.94744,0.45441,1.73069,0.65046,0.88643,1.87678e-05,1.87678e-05,1.87678e-05
96,11557.2,1.60895,0.61616,0.88012,0.93287,0.90874,0.94793,0.45356,1.73476,0.65011,0.88684,1.60943e-05,1.60943e-05,1.60943e-05
97,11672,1.60091,0.61589,0.88119,0.9334,0.9077,0.94721,0.45353,1.73344,0.65001,0.88664,1.39032e-05,1.39032e-05,1.39032e-05
98,11789.2,1.59463,0.61218,0.87973,0.93312,0.90929,0.94896,0.45474,1.73262,0.64905,0.88651,1.21968e-05,1.21968e-05,1.21968e-05
99,11906.1,1.60543,0.61665,0.88192,0.93296,0.90902,0.94849,0.45507,1.73275,0.64846,0.88635,1.09768e-05,1.09768e-05,1.09768e-05
100,12031.4,1.60508,0.61423,0.87841,0.9327,0.90856,0.94788,0.45433,1.73241,0.64953,0.88642,1.02443e-05,1.02443e-05,1.02443e-05
